id_movimiento,fecha_movimiento,codigo_producto,codigo_sucursal,tipo_movimiento,cantidad,valor,estado_movimiento,observacion
1,2025-05-22 19:16:43,0000001927,0001,TRANSFERENCIA,23,1354.31,VALIDO,__NULL__
2,2025-08-10 19:28:32,0000000029,0212,VENTA,10,583.11,VALIDO,__NULL__
3,2025-11-22 10:02:32,0000002833,0265,VENTA,6,135.65,VALIDO,__NULL__
4,2026-01-12 06:06:23,0000001945,0077,COMPRA,59,753.11,VALIDO,DIFERENCIA EN CONTEO
5,2026-07-19 05:51:27,0000000703,0074,VENTA,9,351.88,VALIDO,__NULL__
6,2026-04-23 01:19:16,0000000779,0309,VENTA,3,37.36,VALIDO,__NULL__
7,2025-03-26 02:23:22,0000001952,0358,VENTA,2,43.08,VALIDO,__NULL__
8,2025-01-10 04:41:49,0000000696,0174,VENTA,9,64.24,VALIDO,__NULL__
9,2025-10-26 22:50:12,0000000904,0067,VENTA,3,256.05,VALIDO,__NULL__
10,2026-07-31 16:38:25,0000000840,0243,VENTA,9,139.02,VALIDO,__NULL__
11,2025-08-31 14:28:38,0000000306,0332,VENTA,8,696.52,VALIDO,__NULL__
12,2025-09-12 20:59:31,0000001621,0204,AJUSTE,-18,-263.37,VALIDO,AJUSTE POR INVENTARIO
13,2025-08-15 19:33:21,0000001047,0317,VENTA,9,507.34,VALIDO,__NULL__
14,2026-06-08 10:53:30,0000002151,0169,VENTA,5,103.24,VALIDO,REVISION MANUAL
15,2025-06-15 21:48:52,0000002347,0269,VENTA,3,168.54,VALIDO,__NULL__
16,2025-03-28 22:34:40,0000001337,0179,VENTA,9,319.89,VALIDO,__NULL__
17,2025-03-05 02:20:18,0000002173,0132,VENTA,2,141.46,PENDIENTE,__NULL__
18,2026-03-09 10:14:09,0000001333,9004,VENTA,5,60.9,PENDIENTE,__NULL__
19,2025-11-18 21:02:10,0000000070,0052,AJUSTE,6,31.85,VALIDO,__NULL__
20,2025-07-07 11:15:04,0000001319,0303,COMPRA,82,1784.72,VALIDO,__NULL__
