id_orden,fecha_orden,codigo_proveedor,codigo_producto,codigo_sucursal,cantidad_solicitada,costo_unitario,valor_orden,estado_orden,fecha_entrega
1,2025-09-15 05:02:40,PR0010,0000002664,0167,11,26.81,294.91,RECIBIDA,2025-09-22 05:02:40
2,2025-12-24 22:45:02,PR0059,0000000459,0008,248,2.31,572.88,RECIBIDA,2026-01-03 05:45:02
3,2025-06-10 07:23:25,PR0061,0000002337,0141,489,17.67,8640.63,RECIBIDA,2025-07-07 18:23:25
4,2025-10-27 18:49:36,PR0083,0000001746,0076,369,22.3,8228.7,PENDIENTE,
5,2025-06-22 15:13:11,PR0041,0000000071,0032,78,9.57,746.46,ANULADA,
6,2025-05-10 02:37:21,PR0033,0000000095,0260,154,30.98,4770.92,RECIBIDA,2025-06-04 11:37:21
7,2025-08-27 22:55:19,PR0102,0000001910,0231,293,70.19,20565.67,RECIBIDA,2025-09-06 21:55:19
8,2026-05-27 05:20:36,PR0079,0000001839,0357,418,13.59,5680.62,RECIBIDA,2026-06-03 10:20:36
9,2025-06-06 13:13:49,PR0127,0000002009,0031,158,39.27,6204.66,PENDIENTE,
10,2025-06-23 15:46:33,PR0036,0000000811,0142,438,40.73,17839.74,RECIBIDA,2025-07-08 20:46:33
11,2025-08-23 03:55:56,PR0052,0000001738,0360,183,49.01,8968.83,EN_TRANSITO,2025-08-25 15:55:56
12,2025-10-10 11:08:01,PR0040,0000002858,0394,114,17.05,1943.7,RECIBIDA,2025-11-02 01:08:01
13,2025-01-28 18:15:40,PR0113,0000001066,0120,26,60.01,1560.26,RECIBIDA,2025-02-23 20:15:40
14,2026-05-26 12:11:36,PR0117,0000000938,0213,374,36.62,13695.88,RECIBIDA,2026-06-13 17:11:36
15,2025-03-05 12:49:17,PR0034,0000001379,0368,352,31.4,11052.8,RECIBIDA,2025-03-12 16:49:17
16,2025-06-19 18:52:02,PR0106,0000002625,0397,34,2.9,98.6,RECIBIDA,2025-06-21 07:52:02
17,2025-07-04 02:11:43,PR0077,0000000676,0041,356,5.62,2000.72,EN_TRANSITO,2025-07-11 00:11:43
18,2026-04-07 16:37:11,PR0061,0000002717,0264,180,17.56,3160.8,RECIBIDA,2026-04-28 22:37:11
19,2026-04-05 11:32:20,PR0095,0000000731,0398,391,44.15,17262.65,EN_TRANSITO,2026-05-05 18:32:20
20,2025-04-16 03:27:34,PR0071,0000001578,0309,21,28.92,607.32,ANULADA,
21,2025-05-30 15:49:47,PR0080,0000000518,0045,183,27.34,5003.22,RECIBIDA,2025-06-16 06:49:47
22,2025-01-08 15:44:50,PR0059,0000002718,0235,74,38.99,2885.26,RECIBIDA,2025-01-11 20:44:50
23,2026-05-20 21:35:14,PR0125,0000002801,0035,430,46.44,19969.2,RECIBIDA,2026-06-07 08:35:14
24,2025-12-01 00:12:39,PR0069,0000001616,0142,338,43.54,14716.52,PENDIENTE,
25,2025-01-09 08:49:40,PR0002,0000001978,0324,112,10.82,1211.84,RECIBIDA,2025-01-15 04:49:40
26,2026-02-28 22:42:21,PR0020,0000000072,0339,248,16.83,4173.84,EN_TRANSITO,2026-03-10 01:42:21
27,2025-12-28 03:28:49,PR0127,0000002176,0336,109,1.7,185.3,RECIBIDA,2026-01-12 04:28:49
28,2026-01-13 07:16:53,PR0015,0000001204,0096,418,48.67,20344.06,RECIBIDA,2026-01-16 03:16:53
29,2025-06-23 11:21:41,PR0046,0000000388,0264,216,32.33,6983.28,PENDIENTE,
30,2025-07-24 22:50:16,PR0130,0000002067,0396,97,19.44,1885.68,RECIBIDA,2025-07-31 15:50:16
31,2025-09-14 11:41:04,PR0098,0000001504,0008,300,30.28,9084.0,RECIBIDA,2025-09-22 23:41:04
32,2025-02-23 19:07:29,PR0107,0000001409,0041,274,17.42,4773.08,RECIBIDA,2025-03-19 07:07:29
33,2025-06-23 20:15:41,PR0029,0000002012,0096,355,64.69,22964.95,RECIBIDA,2025-06-27 07:15:41
34,2025-12-18 09:51:13,PR0085,0000000132,0234,265,18.44,4886.6,RECIBIDA,2026-01-15 05:51:13
35,2026-02-19 07:51:44,PR0094,0000002641,0007,116,13.02,1510.32,RECIBIDA,2026-03-05 16:51:44
36,2025-11-26 22:24:14,PR0071,0000001915,0232,476,28.48,13556.48,RECIBIDA,2025-11-29 15:24:14
37,2025-08-26 00:30:36,PR0080,0000001522,0016,470,44.03,20694.1,RECIBIDA,2025-08-30 22:30:36
38,2026-04-04 12:58:01,PR0066,0000002348,0387,101,42.66,4308.66,RECIBIDA,2026-04-24 21:58:01
39,2026-06-03 15:52:12,PR0017,0000000317,0328,305,9.47,2888.35,RECIBIDA,2026-06-13 09:52:12
40,2025-06-18 19:00:22,PR0128,0000000959,0239,425,49.92,21216.0,RECIBIDA,2025-06-26 12:00:22
41,2026-01-22 11:42:58,PR0036,0000000227,0254,463,67.32,31169.16,EN_TRANSITO,2026-02-07 01:42:58
42,2026-02-08 13:08:33,PR0124,0000000456,0355,104,37.35,3884.4,EN_TRANSITO,2026-02-22 09:08:33
43,2026-04-15 07:08:05,PR0096,0000002047,0010,265,7.18,1902.7,RECIBIDA,2026-04-16 15:08:05
44,2025-12-04 13:40:15,PR0059,0000000520,0354,391,16.51,6455.41,EN_TRANSITO,2025-12-19 10:40:15
45,2026-03-18 02:45:40,PR0113,0000002529,0044,16,23.35,373.6,PENDIENTE,
46,2026-04-30 08:24:19,PR0046,0000001082,0220,451,8.71,3928.21,EN_TRANSITO,2026-05-02 06:24:19
47,2025-10-18 07:02:02,PR0114,0000001905,0195,321,10.91,3502.11,ANULADA,
48,2026-07-09 04:38:29,PR0042,0000002817,0156,338,82.36,27837.68,RECIBIDA,2026-07-29 21:38:29
49,2025-09-17 13:56:32,PR0108,0000000160,0178,252,20.26,5105.52,RECIBIDA,2025-10-13 04:56:32
50,2025-01-05 14:06:32,PR0096,0000001927,0041,435,31.91,13880.85,EN_TRANSITO,2025-01-28 00:06:32
51,2026-07-06 16:41:54,PR0116,0000002640,0287,80,3.67,293.6,RECIBIDA,2026-07-19 00:41:54
52,2026-01-27 14:29:57,PR0023,0000000710,0065,25,11.03,275.75,RECIBIDA,2026-02-07 11:29:57
53,2026-01-22 20:29:26,PR0041,0000000351,0182,185,35.04,6482.4,RECIBIDA,2026-01-30 08:29:26
54,2025-10-04 17:01:50,PR0027,0000001952,0192,143,16.14,2308.02,RECIBIDA,2025-11-04 00:01:50
55,2026-01-23 20:11:15,PR0131,0000002056,0259,331,6.47,2141.57,RECIBIDA,2026-01-29 07:11:15
56,2025-05-29 06:36:56,PR0071,0000000765,0249,300,25.2,7560.0,PENDIENTE,
57,2026-04-21 15:11:57,PR0133,0000002780,0102,113,19.83,2240.79,RECIBIDA,2026-04-30 13:11:57
58,2025-12-06 17:51:25,PR0071,0000001073,0400,312,30.66,9565.92,RECIBIDA,2026-01-02 21:51:25
59,2025-12-27 01:58:00,PR0077,0000002117,0127,290,55.69,16150.1,RECIBIDA,2026-01-02 11:58:00
60,2025-04-26 15:31:56,PR0004,0000000614,0182,143,6.87,982.41,EN_TRANSITO,2025-05-13 01:31:56
61,2025-03-20 00:16:44,PR0069,0000000001,0077,61,22.13,1349.93,PENDIENTE,
62,2026-01-20 07:35:07,PR0103,0000002116,0020,12,3.37,40.44,RECIBIDA,2026-01-24 23:35:07
63,2025-11-29 16:37:54,PR0125,0000000643,0013,20,26.84,536.8,RECIBIDA,2025-12-07 09:37:54
64,2026-02-28 14:48:46,PR0081,0000001751,0067,42,16.66,699.72,RECIBIDA,2026-03-20 08:48:46
65,2025-03-18 18:06:50,PR0005,0000002651,0124,190,21.71,4124.9,RECIBIDA,2025-04-10 13:06:50
66,2025-10-13 09:13:48,PR0096,0000001973,0195,80,47.89,3831.2,EN_TRANSITO,2025-10-15 22:13:48
67,2025-09-30 17:40:31,PR0101,0000000524,0270,401,35.19,14111.19,EN_TRANSITO,2025-10-15 09:40:31
68,2026-07-27 18:58:05,PR0037,0000000954,0213,152,2.07,314.64,RECIBIDA,2026-07-29 03:58:05
69,2026-02-24 15:19:36,PR0086,0000001183,0344,403,4.7,1894.1,RECIBIDA,2026-03-01 16:19:36
70,2025-10-22 07:05:54,PR0009,0000000277,0020,335,23.64,7919.4,RECIBIDA,2025-11-11 06:05:54
71,2025-10-10 09:49:58,PR0024,0000000898,0158,179,4.68,837.72,ANULADA,
72,2026-07-13 17:43:24,PR0093,0000001799,0092,474,45.02,21339.48,RECIBIDA,2026-08-06 11:43:24
