codigo_producto,descripcion_producto,categoria,laboratorio,precio_unitario,stock_actual,estado_producto
0000000001,IBUPROFENO TABLETAS 500 MG,MEDICAMENTOS,NATURA MED,28.93,213,ACTIVO
0000000002,PROTECTOR LABIAL SOBRES X 10,BELLEZA,NUTRILIFE,24.01,130,ACTIVO
0000000003,LORATADINA SOBRES X 10,MEDICAMENTOS,PHARMA FUTURA,28.57,62,ACTIVO
0000000004,LIMPIADOR FACIAL CREMA 50 G,BELLEZA,QUIMICA CENTRAL,16.93,__NULL__,ACTIVO
0000000005,PAPEL HIGIENICO CREMA 50 G,HIGIENE,DERMA NOVA,22.41,82,ACTIVO
0000000006,AGUA MICELAR GEL 100 ML,BELLEZA,FARMA SIERRA,28.0,__NULL__,ACTIVO
0000000007,CREMA ANTIMANCHAS FRASCO 30 ML,DERMOCOSMETICA,__NULL__,81.88,0,ACTIVO
0000000008,MASCARILLA LOCION 250 ML,BELLEZA,DERMA NOVA,9.01,116,ACTIVO
0000000009,TOALLA SANITARIA PAQUETE X 12,HIGIENE,__NULL__,11.86,45,ACTIVO
0000000010,ENJUAGUE BUCAL FRASCO 30 ML,CUIDADO PERSONAL,SALUD INTEGRAL,32.84,98,ACTIVO
0000000011,GUANTES DE EXAMEN PAQUETE X 12,DISPOSITIVOS MEDICOS,NOVA SALUD,1.04,87,ACTIVO
0000000012,AMOXICILINA CAPSULAS 20 MG,MEDICAMENTOS,LABORATORIO ANDES VIDA,63.51,55,ACTIVO
0000000013,SERUM FACIAL PAQUETE X 12,BELLEZA,QUIMICA CENTRAL,56.01,129,ACTIVO
0000000014,PROTECTOR LABIAL UNIDAD,BELLEZA,VITALIS ECUADOR,35.81,197,ACTIVO
0000000015,NAPROXENO UNIDAD,MEDICAMENTOS,PHARMA FUTURA,56.48,71,ACTIVO
0000000016,GEL ANTIBACTERIAL CAPSULAS 20 MG,CUIDADO PERSONAL,NATURA MED,26.04,37,ACTIVO
0000000017,OMEGA 3 CAPSULAS 20 MG,NUTRICION,PACIFICO HEALTH,46.13,51,DESCONTINUADO
0000000018,OMEGA 3 GEL 100 ML,NUTRICION,LABORATORIO ANDES VIDA,50.48,0,ACTIVO
0000000019,AMOXICILINA CREMA 50 G,MEDICAMENTOS,FARMA SIERRA,48.62,32,ACTIVO
0000000020,GEL LIMPIADOR FRASCO 30 ML,DERMOCOSMETICA,VIDA ACTIVA,107.02,83,ACTIVO
0000000021,ENJUAGUE BUCAL LOCION 250 ML,CUIDADO PERSONAL,VITALIS ECUADOR,20.78,233,ACTIVO
0000000022,SHAMPOO SUAVE SOBRES X 10,CUIDADO PERSONAL,LABORATORIO ANDES VIDA,23.03,83,ACTIVO
0000000023,ENJUAGUE BUCAL UNIDAD,CUIDADO PERSONAL,DERMA NOVA,34.0,135,ACTIVO
0000000024,PROTECTOR SOLAR SPRAY 60 ML,DERMOCOSMETICA,DERMA NOVA,56.0,7,ACTIVO
0000000025,GEL ANTIBACTERIAL SPRAY 60 ML,CUIDADO PERSONAL,QUIMICA CENTRAL,26.74,221,INACTIVO
0000000026,LORATADINA CAPSULAS 20 MG,MEDICAMENTOS,PACIFICO HEALTH,30.1,94,ACTIVO
0000000027,JERINGA DESECHABLE SPRAY 60 ML,DISPOSITIVOS MEDICOS,NOVA SALUD,17.9,145,ACTIVO
0000000028,LORATADINA CAJA X 20,MEDICAMENTOS,LABORATORIO ANDES VIDA,59.78,47,ACTIVO
0000000029,LOCION CORPORAL SOBRES X 10,DERMOCOSMETICA,DERMA NOVA,58.51,112,ACTIVO
0000000030,ACEITE PARA BEBE UNIDAD,BEBES,BIENESTAR LABS,25.63,0,ACTIVO
0000000031,SERUM FACIAL FRASCO 30 ML,BELLEZA,PHARMA FUTURA,35.26,83,ACTIVO
0000000032,AMOXICILINA GEL 100 ML,MEDICAMENTOS,INNOVA CARE,23.19,38,ACTIVO
0000000033,CETIRIZINA JARABE 120 ML,MEDICAMENTOS,PACIFICO HEALTH,22.33,0,ACTIVO
0000000034,SHAMPOO SUAVE GEL 100 ML,CUIDADO PERSONAL,INNOVA CARE,34.09,34,ACTIVO
0000000035,VITAMINA C GEL 100 ML,NUTRICION,BIENESTAR LABS,47.75,50,ACTIVO
0000000036,AMOXICILINA SOBRES X 10,MEDICAMENTOS,PHARMA FUTURA,4.65,152,ACTIVO
0000000037,DICLOFENACO SPRAY 60 ML,MEDICAMENTOS,NATURA MED,7.59,81,INACTIVO
0000000038,JABON LIQUIDO CREMA 50 G,CUIDADO PERSONAL,MEDILAB SUR,17.08,171,ACTIVO
0000000039,DICLOFENACO TABLETAS 500 MG,MEDICAMENTOS,PACIFICO HEALTH,24.59,14,ACTIVO
0000000040,  BEBIDA NUTRICIONAL CAJA X 20  ,NUTRICION,INNOVA CARE,54.99,41,INACTIVO
0000000041,ENJUAGUE BUCAL UNIDAD,CUIDADO PERSONAL,NUTRILIFE,15.47,0,DESCONTINUADO
0000000042,ENJUAGUE BUCAL JARABE 120 ML,CUIDADO PERSONAL,PHARMA FUTURA,22.85,179,ACTIVO
0000000043,JABON ANTIBACTERIAL CAPSULAS 20 MG,HIGIENE,__NULL__,20.15,__NULL__,ACTIVO
0000000044,SHAMPOO SUAVE CAJA X 20,CUIDADO PERSONAL,NOVA SALUD,12.13,110,INACTIVO
0000000045,NAPROXENO SPRAY 60 ML,MEDICAMENTOS,MEDILAB SUR,8.9,190,ACTIVO
0000000046,PROTEINA EN POLVO UNIDAD,NUTRICION,NATURA MED,6.47,59,DESCONTINUADO
0000000047,AGUA MICELAR TABLETAS 500 MG,BELLEZA,MEDILAB SUR,35.36,32,ACTIVO
0000000048,PROTECTOR SOLAR SOBRES X 10,DERMOCOSMETICA,PHARMA FUTURA,104.23,75,ACTIVO
0000000049,DESODORANTE SPRAY 60 ML,CUIDADO PERSONAL,VITALIS ECUADOR,18.11,53,ACTIVO
