codigo_producto,codigo_proveedor,costo_compra,plazo_entrega_dias,descuento_porcentaje,proveedor_principal,estado_relacion
0000000001,PR0072,21.98,25,0.0,NO,ACTIVA
0000000002,PR0023,14.51,9,15.0,NO,ACTIVA
0000000003,PR0113,15.14,15,5.0,SI,ACTIVA
0000000004,PR0075,13.16,5,0.0,NO,ACTIVA
0000000005,PR0057,17.37,5,15.0,SI,ACTIVA
0000000006,PR0108,21.44,5,3.0,SI,ACTIVA
0000000007,PR0073,63.42,5,2.0,NO,ACTIVA
0000000008,PR0005,5.12,4,3.0,NO,ACTIVA
0000000009,PR0087,6.07,6,3.0,NO,ACTIVA
0000000010,PR0135,16.77,8,0.0,SI,ACTIVA
0000000011,PR0139,0.65,4,3.0,SI,ACTIVA
0000000012,PR0040,33.58,27,10.0,SI,ACTIVA
0000000013,PR0033,42.42,16,2.0,SI,ACTIVA
0000000014,PR0070,28.1,20,5.0,SI,ACTIVA
0000000015,PR0002,39.07,20,7.5,SI,ACTIVA
0000000016,PR0057,20.76,1,5.0,SI,ACTIVA
0000000017,PR0043,24.05,8,2.0,NO,ACTIVA
0000000018,PR0149,25.77,29,5.0,NO,ACTIVA
0000000019,PR0020,32.38,18,3.0,SI,ACTIVA
0000000020,PR0004,71.17,27,0.0,SI,ACTIVA
0000000021,PR0133,15.25,8,10.0,SI,ACTIVA
0000000022,PR0122,14.52,23,5.0,SI,ACTIVA
0000000023,PR0012,27.24,22,7.5,SI,ACTIVA
0000000024,PR0128,28.17,4,0.0,SI,INACTIVA
0000000025,PR0096,13.82,4,12.5,SI,ACTIVA
0000000026,PR0092,15.09,11,10.0,SI,ACTIVA
0000000027,PR0076,13.42,11,0.0,SI,ACTIVA
0000000028,PR0062,45.14,5,5.0,SI,ACTIVA
0000000029,PR0095,29.34,24,3.0,NO,ACTIVA
0000000030,PR0002,19.61,18,15.0,NO,ACTIVA
0000000031,PR0052,17.24,2,10.0,SI,ACTIVA
0000000032,PR0045,14.79,17,15.0,NO,ACTIVA
0000000033,PR0030,16.9,13,10.0,NO,ACTIVA
0000000034,PR0126,26.65,25,12.5,NO,ACTIVA
0000000035,PR0021,38.86,4,0.0,SI,INACTIVA
0000000036,PR0082,2.43,28,7.5,SI,ACTIVA
0000000037,PR0083,4.45,27,5.0,NO,ACTIVA
0000000038,PR0039,8.72,9,7.5,NO,ACTIVA
0000000039,PR0126,18.83,10,15.0,SI,ACTIVA
0000000040,PR0114,39.48,10,5.0,SI,ACTIVA
0000000041,PR0130,7.62,13,10.0,NO,ACTIVA
0000000042,PR0072,14.12,23,0.0,NO,ACTIVA
0000000043,PR0129,10.58,20,15.0,SI,ACTIVA
0000000044,PR0018,9.64,24,5.0,NO,ACTIVA
0000000045,PR0016,4.47,7,7.5,SI,ACTIVA
0000000046,PR0135,3.94,18,15.0,SI,ACTIVA
0000000047,PR0025,23.08,23,5.0,SI,ACTIVA
0000000048,PR0074,,18,0.0,SI,ACTIVA
0000000049,PR0063,11.44,28,5.0,SI,ACTIVA
0000000050,PR0039,32.36,25,12.5,SI,ACTIVA
0000000051,PR0051,43.67,8,3.0,SI,ACTIVA
0000000052,PR0122,50.3,26,0.0,SI,ACTIVA
0000000053,PR0103,36.5,20,5.0,SI,ACTIVA
0000000054,PR0058,19.84,9,0.0,SI,ACTIVA
0000000055,PR0004,13.74,8,0.0,SI,ACTIVA
0000000056,PR0128,9.49,7,2.0,SI,ACTIVA
0000000057,PR0054,15.95,21,10.0,NO,ACTIVA
0000000058,PR0102,1.6,14,3.0,SI,ACTIVA
0000000059,PR0043,52.71,27,10.0,SI,ACTIVA
0000000060,PR0007,10.12,29,15.0,SI,ACTIVA
0000000061,PR0133,45.0,3,7.5,NO,ACTIVA
0000000062,PR0121,37.86,14,3.0,SI,ACTIVA
0000000063,PR0046,22.1,6,15.0,SI,ACTIVA
0000000064,PR0100,36.74,17,15.0,SI,ACTIVA
0000000065,PR0037,9.88,27,10.0,SI,ACTIVA
0000000066,PR0118,32.07,11,2.0,NO,ACTIVA
0000000067,PR0135,33.99,25,2.0,SI,ACTIVA
0000000068,PR0101,18.35,14,5.0,SI,ACTIVA
0000000069,PR0077,8.08,7,0.0,NO,ACTIVA
0000000070,PR0150,3.12,11,2.0,SI,ACTIVA
0000000071,PR0071,11.34,10,0.0,SI,ACTIVA
0000000072,PR0020,17.27,27,15.0,SI,ACTIVA
0000000073,PR0094,33.82,26,3.0,SI,ACTIVA
0000000074,PR0142,48.07,3,12.5,SI,ACTIVA
0000000075,PR0017,6.53,11,0.0,SI,ACTIVA
0000000076,PR0096,52.46,13,10.0,SI,ACTIVA
0000000077,PR0060,34.78,13,12.5,SI,ACTIVA
0000000078,PR0088,6.46,12,10.0,SI,INACTIVA
0000000079,PR0122,9.62,24,3.0,SI,ACTIVA
0000000080,PR0077,60.95,1,0.0,SI,ACTIVA
0000000081,PR0095,10.02,14,0.0,SI,ACTIVA
0000000082,PR0147,4.25,18,10.0,NO,ACTIVA
0000000083,PR0030,59.73,28,0.0,NO,ACTIVA
0000000084,PR0014,,20,2.0,NO,ACTIVA
0000000085,PR0001,21.57,10,10.0,SI,ACTIVA
0000000086,PR0056,51.04,11,5.0,SI,ACTIVA
0000000087,PR0096,18.22,28,5.0,SI,ACTIVA
0000000088,PR0134,15.11,30,7.5,SI,ACTIVA
0000000089,PR0053,32.21,24,0.0,SI,ACTIVA
0000000090,PR0022,32.58,5,2.0,SI,ACTIVA
0000000091,PR0036,41.2,23,2.0,NO,ACTIVA
0000000092,PR0104,25.13,7,2.0,NO,ACTIVA
0000000093,PR0129,46.78,6,15.0,SI,ACTIVA
0000000094,PR0101,9.33,6,5.0,NO,ACTIVA
0000000095,PR0033,30.3,24,0.0,SI,ACTIVA
0000000096,PR0082,38.81,21,5.0,SI,ACTIVA
0000000097,PR0118,18.17,15,15.0,SI,ACTIVA
0000000098,PR0112,19.89,10,5.0,SI,ACTIVA
0000000099,PR0031,6.87,1,0.0,NO,ACTIVA
0000000100,PR0074,33.28,16,7.5,NO,ACTIVA
0000000101,PR0129,7.13,15,3.0,SI,INACTIVA
0000000102,PR0024,76.04,20,10.0,SI,ACTIVA
0000000103,PR0104,15.66,15,7.5,SI,ACTIVA
0000000104,PR0021,16.82,27,5.0,NO,ACTIVA
0000000105,PR0100,23.44,4,2.0,NO,ACTIVA
0000000106,PR0145,30.62,24,2.0,NO,ACTIVA
0000000107,PR0089,45.0,5,3.0,SI,INACTIVA
0000000108,PR0041,12.49,1,7.5,NO,ACTIVA
0000000109,PR0102,64.6,24,2.0,SI,ACTIVA
0000000110,PR0082,21.46,17,5.0,SI,ACTIVA
0000000111,PR0050,16.49,29,7.5,SI,ACTIVA
0000000112,PR0056,21.93,15,0.0,SI,ACTIVA
0000000113,PR0069,31.41,18,12.5,NO,ACTIVA
0000000114,PR0080,22.98,18,15.0,SI,ACTIVA
0000000115,PR0140,33.58,18,2.0,SI,ACTIVA
0000000116,PR0018,11.44,1,3.0,SI,INACTIVA
0000000117,PR0117,64.93,22,15.0,NO,ACTIVA
0000000118,PR0029,3.55,27,10.0,SI,ACTIVA
0000000119,PR0074,7.74,19,10.0,SI,ACTIVA
0000000120,PR0040,20.12,25,7.5,SI,ACTIVA
0000000121,PR0111,60.88,29,0.0,SI,ACTIVA
0000000122,PR0102,20.68,18,15.0,NO,ACTIVA
0000000123,PR0042,31.59,7,0.0,SI,ACTIVA
