codigo_proveedor,nombre_proveedor,ciudad,provincia,tipo_proveedor,dias_credito,estado_proveedor
PR0001,ANDES SUPPLY 001,DURAN,GUAYAS,,15,INACTIVO
PR0002,NOVA DISTRIBUCIONES 002,CUENCA,AZUAY,DISTRIBUIDOR,60,ACTIVO
PR0003,   NACIONAL MED 133   ,LOJA,LOJA,DISTRIBUIDOR,60,ACTIVO
PR0004,SIERRA MED 004,DURAN,GUAYAS,IMPORTADOR,15,ACTIVO
PR0005,ECUASALUD 005,GUAYAQUIL,GUAYAS,,30,ACTIVO
PR0006,CENTRAL PHARMA 006,AMBATO,TUNGURAHUA,IMPORTADOR,30,ACTIVO
PR0007,VITAL DISTRIBUCIONES 007,MACHALA,EL ORO,FABRICANTE,0,ACTIVO
PR0008,BIOCOMERCIAL 008,DURAN,GUAYAS,IMPORTADOR,30,ACTIVO
PR0009,SALUD LOGISTICA 009,LOJA,LOJA,DISTRIBUIDOR,60,ACTIVO
PR0010,MEDIANDES 010,LOJA,LOJA,DISTRIBUIDOR,45,ACTIVO
PR0011,FARMA RED 011,GUAYAQUIL,GUAYAS,IMPORTADOR,45,ACTIVO
PR0012,   SIERRA MED 079   ,MANTA,MANABI,MAYORISTA,30,ACTIVO
PR0013,NACIONAL MED 013,AMBATO,TUNGURAHUA,IMPORTADOR,60,ACTIVO
PR0014,DISTRIBUIDORA ORIENTE 014,DURAN,GUAYAS,MAYORISTA,45,INACTIVO
PR0015,COMERCIAL VIDA 015,CAYAMBE,PICHINCHA,DISTRIBUIDOR,60,ACTIVO
PR0016,ANDES SUPPLY 016,SANTO DOMINGO,SANTO DOMINGO,DISTRIBUIDOR,45,INACTIVO
PR0017,NOVA DISTRIBUCIONES 017,QUITO,PICHINCHA,MAYORISTA,15,ACTIVO
PR0018,PACIFICO FARMA 018,DURAN,GUAYAS,DISTRIBUIDOR,60,ACTIVO
PR0019,SIERRA MED 019,GUAYAQUIL,GUAYAS,MAYORISTA,45,
PR0020,ECUASALUD 020,AMBATO,TUNGURAHUA,,30,ACTIVO
PR0021,CENTRAL PHARMA 021,LOJA,LOJA,IMPORTADOR,30,ACTIVO
PR0022,VITAL DISTRIBUCIONES 022,MACHALA,EL ORO,mayorista,30,ACTIVO
PR0023,BIOCOMERCIAL 023,LATACUNGA,COTOPAXI,MAYORISTA,0,ACTIVO
PR0024,SALUD LOGISTICA 024,AMBATO,TUNGURAHUA,  DISTRIBUIDOR  ,30,ACTIVO
PR0025,MEDIANDES 025,LOJA,LOJA,MAYORISTA,30,ACTIVO
PR0026,FARMA RED 026,AMBATO,TUNGURAHUA,MAYORISTA,45,
PR0027,PRIME HEALTH 027,QUEVEDO,LOS RIOS,IMPORTADOR,30,ACTIVO
PR0028,NACIONAL MED 028,DURAN,GUAYAS,IMPORTADOR,60,
PR0029,DISTRIBUIDORA ORIENTE 029,SANTO DOMINGO,SANTO DOMINGO,IMPORTADOR,15,ACTIVO
PR0030,COMERCIAL VIDA 030,RIOBAMBA,CHIMBORAZO,  MAYORISTA  ,15,ACTIVO
PR0031,,DURAN,GUAYAS,DISTRIBUIDOR,30,ACTIVO
PR0032,NOVA DISTRIBUCIONES 032,MANTA,MANABI,DISTRIBUIDOR,45,ACTIVO
PR0033,PACIFICO FARMA 033,QUITO,PICHINCHA,MAYORISTA,30,ACTIVO
PR0034,SIERRA MED 034,MACHALA,EL ORO,IMPORTADOR,45,ACTIVO
PR0035,ECUASALUD 035,AMBATO,TUNGURAHUA,IMPORTADOR,30,ACTIVO
PR0036,CENTRAL PHARMA 036,LOJA,LOJA,,45,ACTIVO
PR0037,VITAL DISTRIBUCIONES 037,SANTO DOMINGO,SANTO DOMINGO,IMPORTADOR,15,ACTIVO
PR0038,BIOCOMERCIAL 038,DURAN,GUAYAS,MAYORISTA,15,ACTIVO
PR0039,SALUD LOGISTICA 039,QUEVEDO,LOS RIOS,MAYORISTA,60,ACTIVO
PR0040,MEDIANDES 040,AMBATO,TUNGURAHUA,FABRICANTE,15,ACTIVO
PR0041,FARMA RED 041,QUITO,PICHINCHA,MAYORISTA,45,ACTIVO
PR0042,PRIME HEALTH 042,IBARRA,IMBABURA,DISTRIBUIDOR,30,ACTIVO
PR0043,NACIONAL MED 043,CAYAMBE,PICHINCHA,IMPORTADOR,60,ACTIVO
PR0044,DISTRIBUIDORA ORIENTE 044,LOJA,LOJA,MAYORISTA,0,ACTIVO
PR0045,COMERCIAL VIDA 045,AMBATO,TUNGURAHUA,,30,ACTIVO
PR0046,ANDES SUPPLY 046,CUENCA,AZUAY,,30,ACTIVO
PR0047,NOVA DISTRIBUCIONES 047,DURAN,GUAYAS,MAYORISTA,45,ACTIVO
PR0048,PACIFICO FARMA 048,QUITO,PICHINCHA,FABRICANTE,45,ACTIVO
PR0049,SIERRA MED 049,LATACUNGA,COTOPAXI,MAYORISTA,15,ACTIVO
PR0050,ECUASALUD 050,CAYAMBE,PICHINCHA,FABRICANTE,30,ACTIVO
PR0051,CENTRAL PHARMA 051,CAYAMBE,PICHINCHA,,30,ACTIVO
PR0052,VITAL DISTRIBUCIONES 052,QUITO,PICHINCHA,MAYORISTA,30,ACTIVO
PR0053,BIOCOMERCIAL 053,RIOBAMBA,CHIMBORAZO,DISTRIBUIDOR,45,ACTIVO
PR0054,SALUD LOGISTICA 054,QUITO,PICHINCHA,IMPORTADOR,30,ACTIVO
PR0055,,IBARRA,IMBABURA,DISTRIBUIDOR,30,ACTIVO
PR0056,,MACHALA,EL ORO,DISTRIBUIDOR,30,ACTIVO
PR0057,PRIME HEALTH 057,QUEVEDO,LOS RIOS,,60,ACTIVO
PR0058,NACIONAL MED 058,CUENCA,AZUAY,IMPORTADOR,45,ACTIVO
PR0059,DISTRIBUIDORA ORIENTE 059,GUAYAQUIL,GUAYAS,IMPORTADOR,0,ACTIVO
PR0060,COMERCIAL VIDA 060,MACHALA,EL ORO,MAYORISTA,45,ACTIVO
PR0061,ANDES SUPPLY 061,DURAN,GUAYAS,FABRICANTE,30,ACTIVO
PR0062,NOVA DISTRIBUCIONES 062,DURAN,GUAYAS,DISTRIBUIDOR,0,ACTIVO
PR0063,PACIFICO FARMA 063,IBARRA,IMBABURA,FABRICANTE,0,ACTIVO
PR0064,SIERRA MED 064,MACHALA,EL ORO,DISTRIBUIDOR,0,
PR0065,ECUASALUD 065,DURAN,GUAYAS,,30,ACTIVO
PR0066,CENTRAL PHARMA 066,SANTO DOMINGO,SANTO DOMINGO,IMPORTADOR,15,ACTIVO
