codigo_sucursal,nombre_sucursal,ciudad,provincia,tipo_sucursal,estado_sucursal
0001,PUNTO SALUD RIOBAMBA 001,RIOBAMBA,CHIMBORAZO,FARMACIA,ACTIVA
0002,PUNTO SALUD GUAYAQUIL 002,GUAYAQUIL,GUAYAS,FARMACIA,ACTIVA
0003,PUNTO SALUD LOJA 003,LOJA,LOJA,FARMACIA,ACTIVA
0004,PUNTO SALUD CUENCA 004,CUENCA,AZUAY,AUTOSERVICIO,ACTIVA
0005,PUNTO SALUD MACHALA 005,MACHALA,EL ORO,FARMACIA,ACTIVA
0006,PUNTO SALUD SALCEDO 006,SALCEDO,COTOPAXI,CENTRO COMERCIAL,ACTIVA
0007,PUNTO SALUD OTAVALO 007,OTAVALO,IMBABURA,AUTOSERVICIO,ACTIVA
0008,PUNTO SALUD QUITO 008,QUITO,PICHINCHA,AUTOSERVICIO,ACTIVA
0009,PUNTO SALUD IBARRA 009,IBARRA,IMBABURA,FARMACIA,ACTIVA
0010,PUNTO SALUD CAYAMBE 010,CAYAMBE,PICHINCHA,FARMACIA,ACTIVA
0011,PUNTO SALUD GUAYAQUIL 011,GUAYAQUIL,GUAYAS,AUTOSERVICIO,ACTIVA
0012,PUNTO SALUD OTAVALO 012,OTAVALO,IMBABURA,FARMACIA,ACTIVA
0013,PUNTO SALUD CAYAMBE 013,CAYAMBE,PICHINCHA,CENTRO COMERCIAL,ACTIVA
0014,PUNTO SALUD SAMBORONDON 014,SAMBORONDON,GUAYAS,CENTRO COMERCIAL,ACTIVA
0015,PUNTO SALUD BANOS 015,BANOS,TUNGURAHUA,BARRIO,ACTIVA
0016,PUNTO SALUD GUAYAQUIL 016,GUAYAQUIL,GUAYAS,FARMACIA,ACTIVA
0017,PUNTO SALUD CAYAMBE 017,CAYAMBE,PICHINCHA,FARMACIA,ACTIVA
0018,PUNTO SALUD BANOS 018,BANOS,TUNGURAHUA,BARRIO,ACTIVA
0019,PUNTO SALUD QUITO 019,QUITO,PICHINCHA,FARMACIA,ACTIVA
0020,PUNTO SALUD GUALACEO 020,GUALACEO,AZUAY,AUTOSERVICIO,ACTIVA
0021,PUNTO SALUD QUITO 021,QUITO,PICHINCHA,AUTOSERVICIO,ACTIVA
0022,PUNTO SALUD CAYAMBE 022,CAYAMBE,PICHINCHA,FARMACIA,ACTIVA
0023,PUNTO SALUD QUITO 023,QUITO,PICHINCHA,AUTOSERVICIO,ACTIVA
0024,PUNTO SALUD GUAYAQUIL 024,GUAYAQUIL,GUAYAS,FARMACIA,ACTIVA
0025,PUNTO SALUD DURAN 025,DURAN,GUAYAS,FARMACIA,ACTIVA
0026,PUNTO SALUD QUITO 026,QUITO,PICHINCHA,FARMACIA,ACTIVA
0027,PUNTO SALUD GUAYAQUIL 027,GUAYAQUIL,GUAYAS,FARMACIA,ACTIVA
0028,PUNTO SALUD LATACUNGA 028,LATACUNGA,COTOPAXI,AUTOSERVICIO,ACTIVA
0029,PUNTO SALUD AZOGUES 029,AZOGUES,CANAR,FARMACIA,ACTIVA
0030,PUNTO SALUD MACHALA 030,MACHALA,EL ORO,AUTOSERVICIO,ACTIVA
0031,PUNTO SALUD CUENCA 031,CUENCA,AZUAY,FARMACIA,ACTIVA
0032,PUNTO SALUD PASAJE 032,PASAJE,EL ORO,CENTRO COMERCIAL,ACTIVA
0033,PUNTO SALUD BANOS 033,BANOS,TUNGURAHUA,FARMACIA,ACTIVA
0034,PUNTO SALUD DURAN 034,DURAN,GUAYAS,CENTRO COMERCIAL,INACTIVA
0035,PUNTO SALUD PASAJE 035,PASAJE,EL ORO,FARMACIA,ACTIVA
0036,PUNTO SALUD SANGOLQUI 036,SANGOLQUI,PICHINCHA,FARMACIA,ACTIVA
0037,PUNTO SALUD QUEVEDO 037,QUEVEDO,LOS RIOS,AUTOSERVICIO,ACTIVA
0038,PUNTO SALUD SAMBORONDON 038,SAMBORONDON,GUAYAS,AUTOSERVICIO,ACTIVA
0039,PUNTO SALUD GUAYAQUIL 039,GUAYAQUIL,GUAYAS,FARMACIA,ACTIVA
0040,PUNTO SALUD SANGOLQUI 040,SANGOLQUI,PICHINCHA,FARMACIA,ACTIVA
0041,PUNTO SALUD SAMBORONDON 041,SAMBORONDON,GUAYAS,CENTRO COMERCIAL,ACTIVA
0042,PUNTO SALUD CATAMAYO 042,CATAMAYO,LOJA,FARMACIA,ACTIVA
0043,PUNTO SALUD SAMBORONDON 043,SAMBORONDON,GUAYAS,FARMACIA,ACTIVA
0044,PUNTO SALUD CHONE 044,CHONE,MANABI,FARMACIA,ACTIVA
0045,PUNTO SALUD GUALACEO 045,GUALACEO,AZUAY,FARMACIA,ACTIVA
0046,PUNTO SALUD DURAN 046,DURAN,GUAYAS,CENTRO COMERCIAL,ACTIVA
0047,PUNTO SALUD MACHALA 047,MACHALA,EL ORO,AUTOSERVICIO,ACTIVA
0048,PUNTO SALUD SANTO DOMINGO 048,SANTO DOMINGO,SANTO DOMINGO,BARRIO,ACTIVA
0049,PUNTO SALUD SALINAS 049,SALINAS,SANTA ELENA,AUTOSERVICIO,ACTIVA
0050,PUNTO SALUD CAYAMBE 050,CAYAMBE,PICHINCHA,FARMACIA,INACTIVA
0051,PUNTO SALUD AMBATO 051,AMBATO,TUNGURAHUA,FARMACIA,ACTIVA
0052,PUNTO SALUD CHONE 052,CHONE,MANABI,AUTOSERVICIO,ACTIVA
